Relative Path,File Type,File Size,In Xcode Project,Target Membership,Build Phase,Static Ref Count,Dynamic Risk,Classification,Confidence
Podfile.lock,other,3578,No,,,0,No,,
Pure Pets.xcodeproj/project.pbxproj,other,638501,No,,,0,No,,
Pure Pets.xcodeproj/project.xcworkspace/xcshareddata/swiftpm/Package.resolved,other,4578,No,,,0,No,,
Pure Pets.xcodeproj/xcshareddata/xcschemes/Pure Pets.xcscheme,other,6056,No,,,0,No,,
Pure Pets.xcworkspace/contents.xcworkspacedata,other,227,No,,,0,No,,
Pure Pets.xcworkspace/firebase-debug.log,other,789215,No,,,0,No,,
Pure Pets.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist,resource,238,No,,,0,No,,
Pure Pets.xcworkspace/xcshareddata/WorkspaceSettings.xcsettings,other,181,No,,,0,No,,
Pure Pets.xcworkspace/xcshareddata/swiftpm/Package.resolved,other,4875,No,,,0,No,,
Pure Pets/AppDelegate.h,source,1759,Yes,,,97,No,PROTECTED OR REQUIRED,Protected
Pure Pets/AppDelegate.m,source,51385,Yes,Pure Pets,Sources,45,No,PROTECTED OR REQUIRED,Protected
Pure Pets/AppManager.h,source,3882,Yes,,,138,No,PROTECTED OR REQUIRED,Protected
Pure Pets/AppManager.m,source,63030,Yes,Pure Pets,Sources,79,Yes,,
Pure Pets/BirdsCards/ArchiveManagerVC.h,source,677,Yes,,,7,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/ArchiveManagerVC.m,source,26626,Yes,Pure Pets,Sources,5,Yes,,
Pure Pets/BirdsCards/Cells/ABMenuTableViewCell/ABCellMailStyleMenuView.xib,resource,5578,Yes,Pure Pets,Resources,0,No,MANUAL REVIEW REQUIRED,Medium
Pure Pets/BirdsCards/Cells/ABMenuTableViewCell/ABCellMenuView.h,source,890,Yes,,,13,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/Cells/ABMenuTableViewCell/ABCellMenuView.m,source,4788,Yes,Pure Pets,Sources,5,No,,
Pure Pets/BirdsCards/Cells/ABMenuTableViewCell/ABMenuTableViewCell.h,source,3127,Yes,,,402,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/Cells/ABMenuTableViewCell/ABMenuTableViewCell.m,source,20201,Yes,Pure Pets,Sources,9,No,,
Pure Pets/BirdsCards/Cells/ABMenuTableViewCell/UITableView+VisibleMenuCell.h,source,303,Yes,,,9,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/Cells/ABMenuTableViewCell/UITableView+VisibleMenuCell.m,source,595,Yes,Pure Pets,Sources,564,No,,
Pure Pets/BirdsCards/Cells/ABMenuTableViewCell/UIView+XIB.h,source,268,Yes,,,0,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/Cells/ABMenuTableViewCell/UIView+XIB.m,source,813,Yes,Pure Pets,Sources,4550,Yes,,
Pure Pets/BirdsCards/Cells/CabelCollectionViewCell.h,source,2794,Yes,,,0,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/Cells/CabelCollectionViewCell.m,source,11231,Yes,Pure Pets,Sources,0,No,HIGH-CONFIDENCE UNUSED CANDIDATE,High
Pure Pets/BirdsCards/Cells/CollectionViewCell.h,source,4165,Yes,,,4,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/Cells/CollectionViewCell.m,source,22706,Yes,Pure Pets,Sources,243,No,,
Pure Pets/BirdsCards/Cells/CustomCollectionViewCell.h,source,277,Yes,,,0,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/Cells/CustomCollectionViewCell.m,source,4733,Yes,Pure Pets,Sources,0,No,HIGH-CONFIDENCE UNUSED CANDIDATE,High
Pure Pets/BirdsCards/Cells/DetailsTableViewCell.h,source,985,Yes,,,32,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/Cells/DetailsTableViewCell.m,source,9082,Yes,Pure Pets,Sources,14,No,,
Pure Pets/BirdsCards/Cells/ImageCell.h,source,182,Yes,,,2,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/Cells/ImageCell.m,source,1892,Yes,Pure Pets,Sources,2,No,,
Pure Pets/BirdsCards/Cells/JPCell.h,source,580,Yes,,,0,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/Cells/JPCell.m,source,805,Yes,Pure Pets,Sources,0,No,HIGH-CONFIDENCE UNUSED CANDIDATE,High
Pure Pets/BirdsCards/Cells/JPCell.xib,resource,3691,Yes,Pure Pets,Resources,0,No,MANUAL REVIEW REQUIRED,Medium
Pure Pets/BirdsCards/Cells/KBSwipeCell.h,source,596,Yes,,,0,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/Cells/KBSwipeCell.m,source,13289,Yes,Pure Pets,Sources,0,No,HIGH-CONFIDENCE UNUSED CANDIDATE,High
Pure Pets/BirdsCards/Cells/MainCollectionViewCell.h,source,401,Yes,,,0,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/Cells/MainCollectionViewCell.m,source,179,Yes,Pure Pets,Sources,0,No,HIGH-CONFIDENCE UNUSED CANDIDATE,High
Pure Pets/BirdsCards/Cells/ProdectionCells/PPBirdSummaryCollectionCell.h,source,5085,Yes,,,272,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/Cells/ProdectionCells/PPBirdSummaryCollectionCell.m,source,33311,Yes,Pure Pets,Sources,8,No,,
Pure Pets/BirdsCards/Cells/StepperCell.h,source,437,Yes,,,15,No,PROTECTED OR REQUIRED,Protected
Pure Pets/BirdsCards/Cells/StepperCell.m,source,2269,Yes,Pure Pets,Sources,9,No,,
